"id","race","sex","age","juv_fel_count","juv_misd_count","priors_count","charge_id","charge_degree","compas_decile_score","two_year_recid","compas_guess","compas_correct","mturk_charge","drug_type","aggregated","weapon","drug_interaction"
1,6,0,69,0,0,0,16,1,1,0,0,1,"Assault with a Deadly Weapon",NA,"Assault",TRUE,NA
3,2,0,34,0,0,0,170,1,3,1,0,0,"Battery",NA,"Battery",FALSE,NA
4,2,0,24,0,0,4,306,1,4,1,0,0,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
5,2,0,23,0,1,1,303,1,8,0,1,0,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
6,6,0,43,0,0,2,28,1,1,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
7,6,0,44,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
8,1,0,41,0,0,14,292,1,6,1,1,1,"Burglary",NA,"Burglary",NA,NA
9,6,0,43,0,0,3,28,1,4,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
10,1,1,39,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
13,1,0,21,0,0,1,198,1,3,1,0,0,"Insurance Fraud",NA,"Fraud/Forgery",NA,NA
14,1,0,27,0,0,0,248,1,4,0,0,1,"Possession of Ecstasy","Ecstasy","Drug-Related",NA,"Possession"
15,2,0,23,0,0,3,45,0,6,1,1,1,"Battery",NA,"Battery",FALSE,NA
16,1,1,37,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
18,2,0,41,0,0,0,280,1,4,0,0,1,"Possession of Ecstasy","Ecstasy","Drug-Related",NA,"Possession"
19,1,1,47,0,0,1,28,1,1,1,0,0,"arrest case no charge",NA,"No Charge",NA,NA
20,2,0,31,0,0,7,172,1,3,1,0,0,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
21,3,0,37,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
22,2,0,25,0,0,3,190,1,10,0,1,0,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
23,1,0,31,0,0,6,129,1,5,1,1,1,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
24,1,0,31,0,0,5,311,1,3,1,0,0,"Possession of Heroin","Heroin","Drug-Related",NA,"Possession"
25,2,0,64,0,0,13,28,1,6,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
26,2,0,21,0,0,1,49,1,9,1,1,1,"Battery",NA,"Battery",FALSE,NA
27,1,0,27,0,0,0,317,0,2,1,0,0,"Possession of Meth","Meth","Drug-Related",NA,"Possession"
28,1,1,21,0,0,0,202,1,4,0,0,1,"Introducing Contraband Into Jail",NA,"Other",NA,NA
30,3,0,24,0,0,1,212,1,4,1,0,0,"Child Molestation",NA,"Sex Crimes",NA,NA
32,1,0,43,0,0,1,374,0,1,0,0,1,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
33,6,0,32,0,0,0,45,0,3,0,0,1,"Battery",NA,"Battery",FALSE,NA
37,2,0,27,0,0,8,71,1,3,1,0,0,"Carrying a Concealed Weapon",NA,"Carrying a Concealed Weapon",NA,NA
38,1,1,36,0,0,3,28,1,3,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
39,2,0,26,0,0,5,246,1,7,1,1,1,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
40,2,0,33,0,0,0,379,1,10,1,1,1,"Tampering With Physical Evidence",NA,"Obstruction of Justice",NA,NA
41,1,0,30,0,0,9,170,1,9,1,1,1,"Battery",NA,"Battery",FALSE,NA
42,2,0,32,0,0,4,36,1,8,1,1,1,"Tampering with Physical Evidence",NA,"Obstruction of Justice",NA,NA
45,1,0,55,0,0,0,28,1,1,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
50,6,0,49,0,0,7,7,1,3,1,0,0,"Assault",NA,"Assault",FALSE,NA
51,1,0,26,0,0,6,239,0,8,0,1,0,"Operating a Vehicle without a Valid Drivers License",NA,"Car Verification Violations",NA,NA
52,1,1,33,0,0,4,45,0,5,1,1,1,"Battery",NA,"Battery",FALSE,NA
53,1,0,24,0,0,1,45,0,2,1,0,0,"Battery",NA,"Battery",FALSE,NA
54,2,0,34,2,1,21,275,1,9,1,1,1,"Unlawful Possession of Firearm",NA,"Other",NA,NA
55,1,0,29,0,0,0,283,0,2,0,0,1,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
56,2,1,21,0,0,2,28,1,8,0,1,0,"arrest case no charge",NA,"No Charge",NA,NA
57,2,0,51,0,0,2,410,0,1,0,0,1,"Fraud",NA,"Fraud/Forgery",NA,NA
59,1,0,29,0,0,2,423,0,2,1,0,0,"Domestic Violence",NA,"Abuse",NA,NA
61,2,1,51,0,0,7,306,1,2,0,0,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
64,2,0,29,0,0,0,102,1,7,1,1,1,"Fraud",NA,"Fraud/Forgery",NA,NA
66,1,0,25,0,0,9,45,0,10,1,1,1,"Battery",NA,"Battery",FALSE,NA
67,2,0,35,1,0,13,418,1,8,1,1,1,"Forgery",NA,"Fraud/Forgery",NA,NA
68,1,0,49,0,0,0,133,0,1,0,0,1,"Driving Under the Influence",NA,"DUI",NA,NA
69,2,0,34,0,0,4,127,0,3,1,0,0,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
70,2,0,29,0,0,0,379,1,4,0,0,1,"Tampering With Physical Evidence",NA,"Obstruction of Justice",NA,NA
71,1,0,29,0,0,1,319,1,2,1,0,0,"Possession of Oxycodone","Oxycodone","Drug-Related",NA,"Possession"
72,6,1,28,0,0,0,190,1,2,0,0,1,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
75,1,0,48,0,0,20,28,1,6,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
77,3,1,63,0,0,1,28,1,1,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
79,2,0,31,0,0,15,37,1,5,0,1,0,"Armed Burglary",NA,"Burglary",NA,NA
80,2,0,24,0,0,2,271,1,4,1,0,0,"Possession of a Controlled Substance","Controlled Substance","Drug-Related",NA,"Possession"
83,3,0,30,0,0,0,283,0,7,0,1,0,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
84,2,0,49,0,0,4,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
85,1,0,53,0,0,8,28,1,5,0,1,0,"arrest case no charge",NA,"No Charge",NA,NA
87,2,0,35,0,0,5,129,1,3,0,0,1,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
88,2,0,63,0,0,10,286,0,7,1,1,1,"Possession of a Controlled Substance","Controlled Substance","Drug-Related",NA,"Possession"
90,2,0,27,1,1,15,129,1,10,1,1,1,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
91,1,0,38,0,0,4,45,0,2,1,0,0,"Battery",NA,"Battery",FALSE,NA
93,2,0,22,0,0,1,257,1,4,1,0,0,"Unlawful Possession of Firearm",NA,"Other",NA,NA
95,2,0,22,0,1,2,352,1,10,1,1,1,"Dealing Controlled Substances","Controlled Substance","Drug-Related",NA,"Dealing"
96,2,0,29,0,0,4,28,1,9,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
97,3,0,62,0,0,0,409,0,1,0,0,1,"Fraud",NA,"Fraud/Forgery",NA,NA
98,2,0,27,0,1,6,21,1,6,1,1,1,"Assault",NA,"Assault",FALSE,NA
